# generation_params: repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10),,
job_id,repair_type,repair_time_hours,priority,scheduled
J75,Brake inspection,2,4,
J76,Coolant system service,4,5,
J77,Suspension noise diagnosis,3,5,
J78,Battery replacement,4,7,
J79,Transmission inspection,4,1,
J80,Oil change,3,7,
J81,Spark plug replacement,3,5,
J82,Brake pad replacement,1,7,
J83,Check engine light diagnosis,3,6,
J84,Tire pressure sensor reset,3,10,
J85,Check engine light diagnosis,3,8,
J86,Engine diagnostic scan,1,5,
J87,Brake inspection,2,3,
J88,Brake pad replacement,2,3,
J89,Brake inspection,3,9,
J90,Brake inspection,3,1,
J91,Tire pressure sensor reset,3,8,
J92,Transmission inspection,1,2,
J93,Alternator inspection,2,4,
J94,Check engine light diagnosis,3,8,
J95,Tire pressure sensor reset,1,4,
J96,Transmission inspection,3,10,
J97,Spark plug replacement,2,1,
J98,Coolant system service,3,6,
J99,Coolant system service,1,7,
J100,Brake inspection,4,7,
J101,Coolant system service,1,6,
J102,Oil change,4,3,
J103,Tire pressure sensor reset,2,8,
J104,Alternator inspection,3,2,
J105,Engine diagnostic scan,2,3,
J106,Brake inspection,4,6,
J107,Battery replacement,3,6,
J108,Tire replacement,1,2,
J109,Transmission inspection,3,3,
J110,Transmission inspection,3,9,
J111,Suspension noise diagnosis,2,9,
J112,Tire replacement,2,5,
J113,Wheel alignment,4,8,
J114,Suspension noise diagnosis,2,6,
J115,Brake pad replacement,2,4,
J116,Wheel alignment,1,6,
J117,Alternator inspection,1,7,
J118,Tire pressure sensor reset,4,6,
J119,Transmission inspection,3,6,
J120,Tire pressure sensor reset,3,8,
J121,Alternator inspection,4,5,
J122,Suspension noise diagnosis,4,3,
J123,Tire pressure sensor reset,2,6,
J124,Tire replacement,3,7,
J125,Tire replacement,3,2,
J126,Brake pad replacement,2,4,
J127,Tire replacement,3,10,
J128,Wheel alignment,4,6,
J129,Engine diagnostic scan,2,1,
J130,Coolant system service,3,8,
J131,Brake pad replacement,3,10,
J132,Tire pressure sensor reset,3,8,
J133,Oil change,3,5,
J134,Tire pressure sensor reset,3,6,
J135,Brake inspection,3,9,
J136,Spark plug replacement,3,6,
J137,Transmission inspection,1,4,
J138,Transmission inspection,2,7,
J139,Suspension noise diagnosis,3,9,
J140,ABS warning light diagnosis,2,9,
J141,Alternator inspection,3,8,
J142,Wheel alignment,3,4,
J143,Wheel alignment,3,2,
J144,Battery replacement,3,8,
J145,Alternator inspection,3,9,
J146,Check engine light diagnosis,2,4,
J147,Brake inspection,1,6,
J148,Battery replacement,2,9,
J149,Engine diagnostic scan,2,2,
J150,Spark plug replacement,3,8,
J151,Alternator inspection,2,10,
J152,Transmission inspection,2,6,
J153,Brake inspection,4,10,
J154,Engine diagnostic scan,2,3,
J155,Check engine light diagnosis,1,4,
J156,Brake pad replacement,4,9,
J157,Wheel alignment,1,5,
J158,Suspension noise diagnosis,3,5,
J159,Brake pad replacement,2,7,
J160,Brake pad replacement,2,9,
J161,Oil change,3,4,
J162,Check engine light diagnosis,1,10,
J163,Engine diagnostic scan,2,6,
J164,Transmission inspection,3,5,
J165,Oil change,3,3,
J166,Tire replacement,4,4,
J167,Engine diagnostic scan,1,10,
J168,Tire pressure sensor reset,1,6,
J169,Battery replacement,2,6,
J170,Brake pad replacement,3,5,
J171,Transmission inspection,3,7,
J172,Tire replacement,1,1,
J173,Coolant system service,3,10,
J174,Tire replacement,3,6,
J175,Brake pad replacement,2,3,
J176,Coolant system service,2,7,
J177,Transmission inspection,1,3,
J178,Brake pad replacement,1,4,
J179,Wheel alignment,1,6,
J180,Oil change,4,7,
J181,Tire replacement,2,10,
J182,ABS warning light diagnosis,2,7,
J183,Tire replacement,2,7,
J184,Tire pressure sensor reset,3,9,
J185,Suspension noise diagnosis,1,2,
J186,Alternator inspection,2,4,
J187,Coolant system service,2,9,
J188,ABS warning light diagnosis,3,3,
J189,Brake inspection,3,3,
J190,Tire pressure sensor reset,1,2,
J191,Check engine light diagnosis,4,5,
J192,Tire replacement,3,9,
J193,Tire replacement,4,3,
J194,Spark plug replacement,3,7,
J195,Battery replacement,3,6,
J196,Suspension noise diagnosis,2,8,
J197,Tire replacement,3,10,
J198,Alternator inspection,2,7,
J199,ABS warning light diagnosis,4,4,
J200,Oil change,3,10,
J201,Wheel alignment,4,4,
J202,Coolant system service,4,4,
J203,Suspension noise diagnosis,2,8,
J204,ABS warning light diagnosis,1,3,
J205,Coolant system service,2,7,
J206,Oil change,2,5,
J207,Engine diagnostic scan,4,7,
J208,Engine diagnostic scan,2,1,
J209,Alternator inspection,1,3,
J210,ABS warning light diagnosis,2,3,
J211,Brake inspection,3,4,
J212,Battery replacement,3,7,
J213,Wheel alignment,3,2,
J214,Spark plug replacement,1,5,
J215,Tire pressure sensor reset,2,6,
J216,Transmission inspection,2,4,
J217,Engine diagnostic scan,2,8,
J218,Engine diagnostic scan,4,10,
J219,Spark plug replacement,2,6,
J220,Alternator inspection,2,6,
J221,Oil change,2,8,
J222,Transmission inspection,1,8,
J223,Check engine light diagnosis,2,5,
J224,Battery replacement,2,5,
J225,Brake pad replacement,3,3,
J226,Spark plug replacement,3,8,
J227,Transmission inspection,3,8,
J228,Alternator inspection,2,4,
J229,Brake inspection,3,8,
J230,Wheel alignment,2,5,
J231,Coolant system service,1,9,
J232,Suspension noise diagnosis,3,2,
J233,Brake pad replacement,4,10,
J234,Alternator inspection,1,6,
J235,Coolant system service,3,7,
J236,Suspension noise diagnosis,4,9,
J237,Alternator inspection,2,9,
J238,ABS warning light diagnosis,1,1,
J239,Oil change,2,2,
J240,Check engine light diagnosis,3,4,
J241,Engine diagnostic scan,2,1,
J242,Brake inspection,2,8,
J243,ABS warning light diagnosis,3,3,
J244,Suspension noise diagnosis,2,8,
J245,Suspension noise diagnosis,2,7,
J246,Transmission inspection,3,5,
J247,Engine diagnostic scan,4,5,
J248,Wheel alignment,3,2,
J249,ABS warning light diagnosis,3,2,
J250,Coolant system service,4,9,
J251,Transmission inspection,3,6,
J252,Tire pressure sensor reset,2,10,
J253,Coolant system service,4,7,
J254,Oil change,4,8,
J255,Check engine light diagnosis,3,9,
J256,Transmission inspection,3,9,
J257,Oil change,3,8,
J258,Coolant system service,2,9,
J259,Tire replacement,3,4,
J260,Suspension noise diagnosis,3,6,
J261,Wheel alignment,3,10,
J262,Battery replacement,1,9,
J263,Suspension noise diagnosis,4,9,
J264,Suspension noise diagnosis,2,9,
J265,Suspension noise diagnosis,2,2,
J266,Wheel alignment,2,3,
J267,Engine diagnostic scan,4,2,
J268,Brake pad replacement,3,4,
J269,Coolant system service,1,9,
J270,Tire pressure sensor reset,3,7,
J271,Oil change,3,8,
J272,Alternator inspection,2,7,
J273,Brake inspection,4,1,
J274,Battery replacement,3,7,
J275,Tire replacement,2,5,
J276,Battery replacement,2,4,
J277,Tire pressure sensor reset,1,3,
J278,Tire pressure sensor reset,2,3,
J279,Brake pad replacement,2,6,
J280,Spark plug replacement,3,8,
J281,Engine diagnostic scan,2,4,
J282,Coolant system service,2,8,
J283,Suspension noise diagnosis,3,4,
J284,Spark plug replacement,3,1,
J285,Suspension noise diagnosis,4,6,
J286,Alternator inspection,3,7,
J287,Spark plug replacement,1,6,
J288,Engine diagnostic scan,3,7,
J289,Check engine light diagnosis,1,2,
J290,Transmission inspection,1,8,
J291,Suspension noise diagnosis,4,8,
J292,Coolant system service,3,1,
J293,Wheel alignment,2,5,
J294,Alternator inspection,1,5,
J295,Suspension noise diagnosis,3,8,
J296,Oil change,1,7,
J297,Battery replacement,1,2,
J298,Tire replacement,2,8,
J299,Engine diagnostic scan,2,5,
J300,Tire pressure sensor reset,3,3,
J301,Brake pad replacement,3,1,
J302,Suspension noise diagnosis,3,6,
J303,Brake pad replacement,4,9,
J304,Brake inspection,1,5,
J305,Coolant system service,3,3,
J306,Battery replacement,2,9,
J307,Spark plug replacement,4,6,
J308,Coolant system service,3,7,
J309,Alternator inspection,3,6,
J310,Transmission inspection,2,9,
J311,Brake inspection,3,3,
J312,Tire replacement,1,5,
J313,Suspension noise diagnosis,2,6,
J314,Coolant system service,2,9,
J315,Oil change,3,8,
J316,Oil change,2,3,
J317,Battery replacement,1,6,
J318,Tire pressure sensor reset,2,4,
J319,Coolant system service,2,3,
J320,Wheel alignment,3,2,
J321,ABS warning light diagnosis,4,8,
J322,Battery replacement,4,1,
J323,Engine diagnostic scan,3,3,
J324,Transmission inspection,3,8,
J325,Suspension noise diagnosis,2,7,
J326,Engine diagnostic scan,3,6,
J327,Oil change,2,10,
J328,Brake inspection,3,9,
J329,Engine diagnostic scan,3,6,
J330,Tire replacement,4,6,
J331,ABS warning light diagnosis,2,10,
J332,Brake inspection,4,4,
J333,Tire replacement,1,4,
J334,Battery replacement,2,3,
J335,Tire pressure sensor reset,4,6,
J336,Transmission inspection,4,5,
J337,Engine diagnostic scan,2,6,
J338,Alternator inspection,1,8,
J339,Brake pad replacement,4,5,
J340,Battery replacement,3,4,
J341,ABS warning light diagnosis,3,2,
J342,Tire replacement,2,5,
J343,Alternator inspection,1,8,
J344,Brake pad replacement,3,3,
J345,Wheel alignment,2,3,
J346,Tire replacement,2,8,
J347,ABS warning light diagnosis,3,7,
J348,Brake inspection,1,6,
J349,Tire replacement,1,5,
J350,Wheel alignment,2,9,
J351,Brake pad replacement,2,3,
J352,ABS warning light diagnosis,1,8,
J353,Engine diagnostic scan,4,8,
J354,Brake pad replacement,3,2,
J355,Spark plug replacement,4,9,
J356,Suspension noise diagnosis,4,2,
J357,Oil change,3,4,
J358,Suspension noise diagnosis,1,6,
J359,Coolant system service,4,10,
J360,Alternator inspection,3,9,
J361,Brake inspection,1,1,
J362,Engine diagnostic scan,3,3,
J363,Tire pressure sensor reset,2,5,
J364,Oil change,3,8,
J365,Engine diagnostic scan,2,8,
J366,Oil change,1,3,
J367,Spark plug replacement,2,5,
J368,Battery replacement,2,9,
J369,Brake pad replacement,1,5,
J370,Brake pad replacement,3,10,
J371,Transmission inspection,2,8,
J372,Engine diagnostic scan,3,7,
J373,Brake inspection,2,7,
J374,ABS warning light diagnosis,2,4,
J375,Transmission inspection,3,8,
J376,Tire pressure sensor reset,3,8,
J377,Tire replacement,3,9,
J378,Battery replacement,3,7,
J379,Engine diagnostic scan,1,10,
J380,Engine diagnostic scan,3,4,
J381,Suspension noise diagnosis,3,6,
J382,Coolant system service,4,9,
J383,Transmission inspection,1,3,
J384,Oil change,3,3,
J385,Tire replacement,2,9,
J386,Brake pad replacement,2,2,
J387,Spark plug replacement,3,6,
J388,Transmission inspection,3,8,
J389,Wheel alignment,3,2,
J390,Coolant system service,4,4,
J391,Wheel alignment,3,6,
J392,Brake pad replacement,2,2,
J393,ABS warning light diagnosis,1,3,
J394,Oil change,4,2,
J395,Engine diagnostic scan,3,3,
J396,Battery replacement,4,5,
J397,Check engine light diagnosis,3,6,
J398,Check engine light diagnosis,3,8,
J399,Wheel alignment,2,9,
J400,ABS warning light diagnosis,1,6,
J401,Check engine light diagnosis,4,4,
J402,Tire pressure sensor reset,3,9,
J403,Oil change,1,7,
J404,Check engine light diagnosis,1,7,
J405,Spark plug replacement,3,9,
J406,Wheel alignment,2,10,
J407,Oil change,2,10,
J408,Oil change,2,3,
J409,Suspension noise diagnosis,2,1,
J410,Engine diagnostic scan,2,3,
J411,Wheel alignment,2,2,
J412,Alternator inspection,3,1,
J413,Battery replacement,4,4,
J414,Alternator inspection,3,5,
J415,Brake pad replacement,4,5,
J416,Tire replacement,2,4,
J417,Spark plug replacement,1,8,
J418,Suspension noise diagnosis,1,10,
J419,Brake pad replacement,2,10,
J420,Wheel alignment,2,7,
J421,Tire replacement,4,4,
J422,Tire pressure sensor reset,4,6,
J423,Battery replacement,1,2,
J424,Tire pressure sensor reset,1,3,
J425,ABS warning light diagnosis,2,3,
J426,Brake pad replacement,2,9,
J427,Spark plug replacement,2,6,
J428,Brake inspection,3,6,
J429,Coolant system service,4,6,
J430,Engine diagnostic scan,2,7,
J431,Engine diagnostic scan,3,5,
J432,Coolant system service,2,2,
J433,Engine diagnostic scan,2,4,
J434,Alternator inspection,3,6,
J435,Alternator inspection,3,10,
J436,Battery replacement,4,2,
J437,Check engine light diagnosis,2,7,
J438,Battery replacement,2,5,
J439,Tire replacement,4,4,
J440,Alternator inspection,1,2,
J441,Check engine light diagnosis,2,8,
J442,Brake pad replacement,4,9,
J443,ABS warning light diagnosis,3,2,
J444,Suspension noise diagnosis,2,6,
J445,Wheel alignment,2,4,
J446,Transmission inspection,4,6,
J447,Alternator inspection,2,2,
J448,Alternator inspection,2,6,
J449,Check engine light diagnosis,4,9,
J450,Check engine light diagnosis,3,7,
J451,Tire replacement,1,10,
J452,Coolant system service,1,5,
J453,Brake inspection,3,3,
J454,Spark plug replacement,2,9,
J455,Suspension noise diagnosis,4,4,
J456,Transmission inspection,4,7,
J457,Brake inspection,3,5,
J458,Wheel alignment,2,4,
J459,Tire pressure sensor reset,2,1,
J460,Wheel alignment,1,2,
J461,Transmission inspection,2,5,
J462,ABS warning light diagnosis,1,10,
J463,Alternator inspection,4,4,
J464,Oil change,1,4,
J465,Alternator inspection,4,1,
J466,Battery replacement,1,8,
J467,Engine diagnostic scan,1,3,
J468,Spark plug replacement,3,8,
J469,Brake pad replacement,2,7,
J470,Suspension noise diagnosis,3,6,
J471,ABS warning light diagnosis,3,9,
J472,Engine diagnostic scan,3,3,
J473,Tire replacement,1,3,
J474,Battery replacement,3,4,
J475,Wheel alignment,3,2,
J476,Engine diagnostic scan,3,2,
J477,Transmission inspection,4,7,
J478,Check engine light diagnosis,4,8,
J479,Tire pressure sensor reset,2,3,
J480,Coolant system service,1,6,
J481,Engine diagnostic scan,2,7,
J482,Suspension noise diagnosis,2,10,
J483,Tire pressure sensor reset,3,4,
J484,Spark plug replacement,1,6,
J485,Tire replacement,3,7,
J486,Coolant system service,1,3,
J487,Oil change,1,4,
J488,Transmission inspection,2,4,
J489,Suspension noise diagnosis,3,5,
J490,Battery replacement,2,5,
J491,Brake inspection,2,8,
J492,ABS warning light diagnosis,2,7,
J493,Coolant system service,3,1,
J494,Engine diagnostic scan,2,3,
J495,Coolant system service,3,5,
J496,Battery replacement,3,9,
J497,Battery replacement,2,5,
J498,Alternator inspection,4,3,
J499,Engine diagnostic scan,1,6,
J500,Engine diagnostic scan,1,2,
J501,Battery replacement,2,8,
J502,ABS warning light diagnosis,2,7,
J503,Battery replacement,2,4,
J504,Spark plug replacement,4,2,
J505,Brake inspection,3,10,
J506,Oil change,1,4,
J507,Oil change,2,8,
J508,Brake inspection,3,5,
J509,Check engine light diagnosis,3,5,
J510,Transmission inspection,2,5,
J511,Brake inspection,2,2,
J512,Tire replacement,3,3,
J513,Wheel alignment,1,7,
J514,Check engine light diagnosis,1,8,
J515,Brake pad replacement,1,5,
J516,Alternator inspection,4,1,
J517,Brake pad replacement,4,9,
J518,Tire replacement,4,8,
J519,Battery replacement,2,9,
J520,Brake inspection,3,6,
J521,Spark plug replacement,2,3,
J522,Brake pad replacement,3,6,
J523,Oil change,2,9,
J524,Oil change,1,4,
J525,ABS warning light diagnosis,2,9,
J526,ABS warning light diagnosis,3,8,
J527,Battery replacement,4,1,
J528,Transmission inspection,2,5,
J529,Transmission inspection,3,3,
J530,Spark plug replacement,3,2,
J531,Battery replacement,2,8,
J532,Check engine light diagnosis,3,9,
J533,Oil change,1,8,
J534,Transmission inspection,1,6,
J535,Brake pad replacement,1,2,
J536,Brake pad replacement,2,10,
J537,Check engine light diagnosis,1,6,
J538,Tire pressure sensor reset,3,7,
J539,Brake inspection,1,10,
J540,Coolant system service,2,8,
J541,Coolant system service,4,3,
J542,Check engine light diagnosis,2,9,
J543,Suspension noise diagnosis,3,7,
J544,Brake pad replacement,3,3,
J545,Tire replacement,2,1,
J546,Coolant system service,3,2,
J547,Tire replacement,2,4,
J548,ABS warning light diagnosis,4,8,
J549,Coolant system service,4,5,
J550,Brake inspection,1,9,
J551,Oil change,3,5,
J552,Engine diagnostic scan,2,9,
J553,Wheel alignment,2,2,
J554,Transmission inspection,3,6,
J555,Suspension noise diagnosis,3,4,
J556,Oil change,3,10,
J557,Engine diagnostic scan,3,4,
J558,Alternator inspection,4,7,
J559,ABS warning light diagnosis,2,3,
J560,Spark plug replacement,3,8,
J561,Suspension noise diagnosis,3,6,
J562,Brake pad replacement,3,1,
J563,Oil change,2,9,
J564,Wheel alignment,4,5,
J565,ABS warning light diagnosis,4,4,
J566,Check engine light diagnosis,1,5,
J567,Spark plug replacement,4,8,
J568,Spark plug replacement,1,2,
J569,Battery replacement,2,8,
J570,Wheel alignment,1,4,
J571,Brake inspection,3,6,
J572,Spark plug replacement,4,5,
J573,Check engine light diagnosis,2,5,
J574,ABS warning light diagnosis,4,1,
J575,Wheel alignment,2,10,
J576,Tire pressure sensor reset,2,5,
J577,Tire replacement,3,2,
J578,Alternator inspection,2,8,
J579,Alternator inspection,3,5,
J580,Check engine light diagnosis,2,3,
J581,Spark plug replacement,4,3,
J582,Spark plug replacement,2,6,
J583,Battery replacement,1,6,
J584,Alternator inspection,3,5,
J585,Alternator inspection,3,9,
J586,Transmission inspection,3,7,
J587,Battery replacement,3,9,
J588,Tire pressure sensor reset,3,5,
J589,Suspension noise diagnosis,2,3,
J590,Engine diagnostic scan,1,4,
J591,Suspension noise diagnosis,2,7,
J592,Battery replacement,3,6,
J593,Battery replacement,3,6,
J594,Tire pressure sensor reset,2,3,
J595,Transmission inspection,4,7,
J596,Brake inspection,4,1,
J597,Tire replacement,3,3,
J598,Coolant system service,2,6,
J599,Suspension noise diagnosis,3,4,
J600,Coolant system service,4,3,
J601,Tire replacement,2,9,
J602,Brake pad replacement,4,2,
J603,Engine diagnostic scan,2,9,
J604,ABS warning light diagnosis,4,5,
J605,Tire pressure sensor reset,3,8,
J606,Brake inspection,2,3,
J607,Spark plug replacement,4,5,
J608,Coolant system service,3,2,
J609,Spark plug replacement,3,8,
J610,Spark plug replacement,1,5,
J611,Wheel alignment,2,8,
J612,Battery replacement,1,2,
J613,Brake pad replacement,2,4,
J614,Wheel alignment,4,4,
J615,Tire pressure sensor reset,2,4,
J616,Brake pad replacement,1,3,
J617,Brake inspection,2,9,
J618,Engine diagnostic scan,3,8,
J619,Wheel alignment,3,7,
J620,Brake pad replacement,1,9,
J621,Engine diagnostic scan,3,5,
J622,Oil change,3,5,
J623,Battery replacement,2,2,
J624,Brake pad replacement,3,2,
J625,Suspension noise diagnosis,3,5,
J626,ABS warning light diagnosis,1,8,
J627,Engine diagnostic scan,4,2,
J628,Oil change,3,2,
J629,Alternator inspection,2,7,
J630,Alternator inspection,3,8,
J631,Alternator inspection,2,6,
J632,Tire replacement,3,3,
J633,Brake inspection,2,10,
J634,Engine diagnostic scan,1,1,
J635,Engine diagnostic scan,3,6,
J636,Brake pad replacement,4,4,
J637,Tire replacement,3,8,
J638,ABS warning light diagnosis,3,10,
J639,Transmission inspection,1,1,
J640,Engine diagnostic scan,3,3,
J641,Tire pressure sensor reset,3,9,
J642,Brake inspection,2,9,
J643,Tire replacement,1,2,
J644,Tire pressure sensor reset,4,1,
J645,Brake pad replacement,2,10,
J646,Tire pressure sensor reset,1,6,
J647,Alternator inspection,4,2,
J648,Battery replacement,2,6,
J649,Brake pad replacement,2,6,
J650,Tire pressure sensor reset,4,5,
J651,Engine diagnostic scan,2,7,
J652,Alternator inspection,3,7,
J653,Suspension noise diagnosis,2,9,
J654,ABS warning light diagnosis,3,2,
J655,Tire replacement,2,3,
J656,Tire pressure sensor reset,3,4,
J657,ABS warning light diagnosis,2,5,
J658,Engine diagnostic scan,3,6,
J659,Tire pressure sensor reset,2,1,
J660,Spark plug replacement,3,6,
J661,Brake inspection,3,3,
J662,Engine diagnostic scan,1,4,
J663,ABS warning light diagnosis,2,10,
J664,Tire replacement,3,10,
J665,Tire replacement,3,6,
J666,Engine diagnostic scan,3,3,
J667,Transmission inspection,3,2,
J668,Engine diagnostic scan,1,5,
J669,Engine diagnostic scan,4,8,
J670,Oil change,2,5,
J671,Tire pressure sensor reset,2,6,
J672,Tire replacement,3,5,
J673,Transmission inspection,3,4,
J674,Engine diagnostic scan,2,4,
J675,Tire replacement,2,5,
J676,Brake pad replacement,2,4,
J677,Tire pressure sensor reset,2,10,
J678,ABS warning light diagnosis,3,2,
J679,Brake pad replacement,2,9,
J680,Alternator inspection,3,4,
J681,Oil change,2,3,
J682,Brake inspection,4,6,
J683,Spark plug replacement,4,8,
J684,Spark plug replacement,3,8,
J685,Check engine light diagnosis,3,4,
J686,Brake pad replacement,3,7,
J687,Oil change,4,7,
J688,Check engine light diagnosis,1,5,
J689,Transmission inspection,3,2,
J690,Spark plug replacement,2,9,
J691,Brake pad replacement,2,4,
J692,Brake pad replacement,3,6,
J693,Tire pressure sensor reset,2,5,
J694,ABS warning light diagnosis,3,10,
J695,Spark plug replacement,3,6,
J696,Suspension noise diagnosis,1,6,
J697,Alternator inspection,4,2,
J698,Tire pressure sensor reset,2,3,
J699,Brake inspection,4,10,
J700,Tire replacement,2,5,
J701,Brake pad replacement,1,5,
J702,Tire pressure sensor reset,4,8,
J703,Check engine light diagnosis,2,8,
J704,Coolant system service,3,6,
J705,Spark plug replacement,1,7,
J706,ABS warning light diagnosis,2,6,
J707,Transmission inspection,3,4,
J708,Alternator inspection,1,1,
J709,Engine diagnostic scan,1,5,
J710,Tire pressure sensor reset,2,9,
J711,Brake inspection,2,4,
J712,Engine diagnostic scan,3,6,
J713,Oil change,2,2,
J714,Alternator inspection,2,9,
J715,Spark plug replacement,4,8,
J716,Check engine light diagnosis,2,5,
J717,Wheel alignment,3,4,
J718,Engine diagnostic scan,1,9,
J719,Tire replacement,4,1,
J720,Oil change,3,8,
J721,Tire replacement,4,2,
J722,Oil change,4,5,
J723,Coolant system service,3,4,
J724,Oil change,1,8,
J725,Tire pressure sensor reset,3,9,
J726,Tire replacement,1,4,
J727,ABS warning light diagnosis,3,8,
J728,Oil change,3,3,
J729,Engine diagnostic scan,3,8,
J730,Tire replacement,1,3,
J731,Engine diagnostic scan,3,9,
J732,ABS warning light diagnosis,1,8,
J733,Engine diagnostic scan,2,5,
J734,Coolant system service,2,7,
J735,ABS warning light diagnosis,2,4,
J736,Brake pad replacement,1,4,
J737,Tire replacement,2,2,
J738,Brake pad replacement,3,2,
J739,Brake pad replacement,3,4,
J740,Spark plug replacement,3,7,
J741,Suspension noise diagnosis,4,4,
J742,Tire pressure sensor reset,3,3,
J743,Engine diagnostic scan,3,5,
J744,Check engine light diagnosis,2,3,
J745,Tire pressure sensor reset,3,10,
J746,ABS warning light diagnosis,1,4,
J747,Tire pressure sensor reset,2,7,
J748,Tire pressure sensor reset,2,7,
J749,Battery replacement,1,10,
J750,ABS warning light diagnosis,3,3,
J751,Alternator inspection,2,6,
J752,Spark plug replacement,3,6,
J753,Check engine light diagnosis,3,2,
J754,Tire replacement,4,2,
J755,Coolant system service,2,9,
J756,ABS warning light diagnosis,1,10,
J757,Transmission inspection,4,3,
J758,Coolant system service,2,10,
J759,Oil change,4,9,
J760,Alternator inspection,1,8,
J761,ABS warning light diagnosis,1,2,
J762,Check engine light diagnosis,4,4,
J763,Spark plug replacement,1,7,
J764,Brake pad replacement,2,6,
J765,Transmission inspection,4,10,
J766,Brake inspection,4,7,
J767,Tire replacement,2,2,
J768,Tire replacement,2,9,
J769,Tire pressure sensor reset,1,1,
J770,Suspension noise diagnosis,1,10,
J771,Coolant system service,3,2,
J772,Oil change,2,1,
J773,Wheel alignment,2,8,
J774,Transmission inspection,4,8,
J775,Coolant system service,1,10,
J776,Wheel alignment,3,8,
J777,Transmission inspection,4,3,
J778,Oil change,3,8,
J779,Tire replacement,1,9,
J780,Brake pad replacement,1,4,
J781,Transmission inspection,3,9,
J782,Spark plug replacement,3,10,
J783,Coolant system service,1,9,
J784,Brake inspection,3,4,
J785,Spark plug replacement,2,4,
J786,Suspension noise diagnosis,2,9,
J787,Transmission inspection,3,7,
J788,Coolant system service,3,7,
J789,Brake pad replacement,1,8,
J790,Coolant system service,2,7,
J791,Spark plug replacement,2,10,
J792,Check engine light diagnosis,1,2,
J793,Wheel alignment,2,4,
J794,Tire replacement,1,3,
J795,Battery replacement,3,8,
J796,Coolant system service,4,10,
J797,Coolant system service,3,7,
J798,Engine diagnostic scan,4,3,
J799,Coolant system service,1,5,
J800,Transmission inspection,1,5,
J801,Coolant system service,3,7,
J802,Oil change,1,2,
J803,ABS warning light diagnosis,2,6,
J804,Battery replacement,4,10,
J805,Oil change,4,2,
J806,Oil change,1,3,
J807,Alternator inspection,1,7,
J808,Check engine light diagnosis,3,6,
J809,Alternator inspection,1,5,
J810,Spark plug replacement,3,6,
J811,Suspension noise diagnosis,1,2,
J812,Battery replacement,2,5,
J813,Wheel alignment,4,6,
J814,Oil change,2,3,
J815,Tire replacement,3,3,
J816,Brake inspection,4,2,
J817,Transmission inspection,3,9,
J818,Wheel alignment,2,3,
J819,Tire replacement,3,8,
J820,Tire replacement,4,10,
J821,Suspension noise diagnosis,3,10,
