# generation_params: repair_time: uniform(min=1, max=4) | priority: uniform(min=1, max=10)
job_id,repair_type,repair_time_hours,priority
J547,Transmission inspection,2,9
J548,Check engine light diagnosis,4,6
J549,Oil change,4,6
J550,Alternator inspection,3,1
J551,Tire replacement,2,4
J552,Spark plug replacement,2,9
J553,Coolant system service,2,3
J554,Tire pressure sensor reset,2,2
J555,Oil change,2,4
J556,ABS warning light diagnosis,2,9
J557,Oil change,4,2
J558,Check engine light diagnosis,3,8
J559,Spark plug replacement,2,10
J560,Spark plug replacement,2,4
J561,ABS warning light diagnosis,2,6
J562,Tire replacement,2,9
J563,Battery replacement,4,6
J564,Oil change,2,5
J565,Brake pad replacement,2,4
J566,Spark plug replacement,4,7
J567,Tire pressure sensor reset,4,3
J568,Alternator inspection,1,5
J569,Coolant system service,3,2
J570,Battery replacement,3,3
J571,Wheel alignment,3,5
J572,Alternator inspection,2,2
J573,Alternator inspection,2,1
J574,Suspension noise diagnosis,4,7
J575,Brake inspection,1,1
J576,Suspension noise diagnosis,3,1
J577,Coolant system service,1,8
J578,Coolant system service,4,4
J579,Brake pad replacement,3,5
J580,Tire replacement,2,3
J581,Check engine light diagnosis,2,3
J582,Coolant system service,2,4
J583,ABS warning light diagnosis,2,5
J584,Check engine light diagnosis,2,8
J585,Engine diagnostic scan,2,9
J586,Wheel alignment,4,8
J587,Oil change,1,7
J588,Transmission inspection,3,2
J589,Tire replacement,3,2
J590,Transmission inspection,3,8
J591,Tire pressure sensor reset,2,9
J592,Spark plug replacement,3,8
J593,Oil change,3,6
J594,Suspension noise diagnosis,2,7
J595,Engine diagnostic scan,2,4
J596,Check engine light diagnosis,2,6
J597,ABS warning light diagnosis,2,8
J598,Suspension noise diagnosis,3,5
J599,Wheel alignment,3,4
J600,Oil change,2,5
J601,ABS warning light diagnosis,3,9
J602,Battery replacement,4,4
J603,Tire replacement,4,9
J604,ABS warning light diagnosis,2,7
J605,ABS warning light diagnosis,2,6
J606,ABS warning light diagnosis,2,1
J607,Suspension noise diagnosis,3,5
J608,Engine diagnostic scan,2,8
J609,Suspension noise diagnosis,2,4
J610,Coolant system service,2,6
J611,Transmission inspection,2,5
J612,Brake inspection,2,2
J613,Tire replacement,3,1
J614,Wheel alignment,3,3
J615,Tire pressure sensor reset,3,7
J616,Transmission inspection,2,1
J617,Battery replacement,2,4
J618,Oil change,3,10
J619,Tire replacement,2,3
J620,Spark plug replacement,2,4
J621,Transmission inspection,2,7
J622,Wheel alignment,3,2
J623,Engine diagnostic scan,4,9
J624,Engine diagnostic scan,4,8
J625,Check engine light diagnosis,3,6
J626,Check engine light diagnosis,4,7
J627,Alternator inspection,1,1
J628,Oil change,3,7
J629,Alternator inspection,2,3
J630,Wheel alignment,1,8
J631,Brake pad replacement,4,9
J632,Transmission inspection,2,6
J633,Brake inspection,3,2
J634,Oil change,3,9
J635,Alternator inspection,1,9
J636,Brake inspection,2,6
J637,Wheel alignment,2,8
J638,Oil change,2,2
J639,Tire replacement,3,3
J640,Tire pressure sensor reset,2,2
J641,Wheel alignment,1,3
J642,Coolant system service,4,3
J643,Brake inspection,3,3
J644,Transmission inspection,3,2
J645,Spark plug replacement,2,4
J646,Brake inspection,3,9
J647,Brake inspection,2,7
J648,Battery replacement,1,3
J649,Suspension noise diagnosis,4,9
J650,Coolant system service,1,4
J651,Spark plug replacement,2,1
J652,Brake inspection,2,1
J653,Coolant system service,2,5
J654,Brake inspection,2,2
J655,Brake pad replacement,4,1
J656,Tire pressure sensor reset,3,8
J657,Brake pad replacement,1,7
J658,Suspension noise diagnosis,3,3
J659,Oil change,3,7
J660,Transmission inspection,1,6
J661,Spark plug replacement,2,2
J662,Tire replacement,4,5
J663,Oil change,3,7
J664,Suspension noise diagnosis,3,4
J665,Spark plug replacement,4,9
J666,Check engine light diagnosis,3,7
J667,Wheel alignment,1,9
J668,Wheel alignment,4,7
J669,Suspension noise diagnosis,2,9
J670,Oil change,3,6
J671,Transmission inspection,3,7
J672,ABS warning light diagnosis,2,3
J673,Coolant system service,2,7
J674,Tire replacement,1,6
J675,Engine diagnostic scan,1,6
J676,Wheel alignment,2,5
J677,Spark plug replacement,2,8
J678,ABS warning light diagnosis,2,5
J679,Suspension noise diagnosis,3,6
J680,Tire replacement,1,2
J681,Wheel alignment,2,3
J682,Tire replacement,4,6
J683,Spark plug replacement,3,7
J684,Brake inspection,3,10
J685,Suspension noise diagnosis,2,10
J686,Coolant system service,2,9
J687,ABS warning light diagnosis,2,1
J688,Engine diagnostic scan,2,9
J689,Spark plug replacement,2,3
J690,Wheel alignment,3,4
J691,Tire replacement,2,3
J692,ABS warning light diagnosis,2,5
J693,Coolant system service,3,1
J694,Suspension noise diagnosis,3,2
J695,Oil change,2,7
J696,Check engine light diagnosis,2,3
J697,Wheel alignment,1,7
J698,Spark plug replacement,3,7
J699,Battery replacement,4,8
J700,Oil change,4,4
J701,Brake pad replacement,3,6
J702,Transmission inspection,2,9
J703,Brake pad replacement,1,7
J704,Transmission inspection,3,8
J705,Tire replacement,1,5
J706,ABS warning light diagnosis,3,7
J707,Wheel alignment,2,2
J708,Engine diagnostic scan,4,10
J709,Battery replacement,3,4
J710,Engine diagnostic scan,1,2
J711,Coolant system service,2,9
J712,Battery replacement,2,1
J713,Tire pressure sensor reset,2,5
J714,Transmission inspection,3,5
J715,Tire replacement,3,4
J716,Wheel alignment,2,7
J717,Alternator inspection,1,2
J718,Tire pressure sensor reset,3,2
J719,Battery replacement,2,2
J720,Brake inspection,2,4
J721,Check engine light diagnosis,1,7
J722,Tire pressure sensor reset,2,7
J723,Battery replacement,3,2
J724,Check engine light diagnosis,3,2
J725,Brake pad replacement,2,2
J726,Coolant system service,1,3
J727,Engine diagnostic scan,3,7
J728,Suspension noise diagnosis,2,8
J729,Engine diagnostic scan,4,5
J730,Tire replacement,2,5
J731,Transmission inspection,2,10
J732,Brake inspection,2,2
J733,Brake pad replacement,3,9
J734,Engine diagnostic scan,3,9
J735,Wheel alignment,2,5
J736,Brake pad replacement,2,3
J737,Tire replacement,4,3
J738,Brake pad replacement,3,2
J739,Brake inspection,1,1
J740,Check engine light diagnosis,2,7
J741,Wheel alignment,2,6
J742,Tire pressure sensor reset,4,6
J743,Tire replacement,3,7
J744,Battery replacement,3,8
J745,Suspension noise diagnosis,3,10
J746,ABS warning light diagnosis,3,3
J747,Engine diagnostic scan,4,2
J748,Tire replacement,1,7
J749,Coolant system service,3,4
J750,Oil change,2,9
J751,Suspension noise diagnosis,3,5
J752,Brake pad replacement,1,2
J753,Battery replacement,3,6
J754,Tire replacement,2,7
J755,Oil change,2,6
J756,Oil change,4,7
J757,Transmission inspection,4,3
J758,Tire replacement,3,2
J759,Suspension noise diagnosis,3,10
J760,Suspension noise diagnosis,1,9
J761,Coolant system service,4,6
J762,Battery replacement,3,6
J763,Tire pressure sensor reset,1,6
J764,Spark plug replacement,2,6
J765,Check engine light diagnosis,3,2
J766,Oil change,3,8
J767,Suspension noise diagnosis,4,7
J768,Check engine light diagnosis,4,2
J769,Brake inspection,3,1
J770,Wheel alignment,3,7
J771,Engine diagnostic scan,2,8
J772,Check engine light diagnosis,2,2
J773,Check engine light diagnosis,2,2
J774,Coolant system service,2,10
J775,Alternator inspection,1,5
J776,Tire replacement,1,6
J777,Transmission inspection,1,5
J778,Suspension noise diagnosis,2,6
J779,Suspension noise diagnosis,3,9
J780,Coolant system service,1,6
J781,Engine diagnostic scan,1,9
J782,Tire pressure sensor reset,4,6
J783,Tire replacement,3,8
J784,Spark plug replacement,2,4
J785,Brake pad replacement,3,10
J786,Coolant system service,3,5
J787,Battery replacement,2,4
J788,Check engine light diagnosis,4,4
J789,Check engine light diagnosis,4,9
J790,Tire replacement,4,8
J791,Coolant system service,2,1
J792,Suspension noise diagnosis,3,6
J793,Battery replacement,3,7
J794,Coolant system service,1,2
J795,Check engine light diagnosis,1,3
J796,Brake pad replacement,4,7
J797,Engine diagnostic scan,3,2
J798,Transmission inspection,2,2
J799,Battery replacement,3,9
J800,Suspension noise diagnosis,3,6
J801,Spark plug replacement,2,5
J802,Oil change,4,3
J803,Wheel alignment,3,9
J804,Oil change,3,1
J805,Coolant system service,4,2
J806,Engine diagnostic scan,3,2
J807,Tire replacement,3,9
J808,Brake inspection,3,7
J809,Tire replacement,2,8
J810,Battery replacement,4,7
J811,ABS warning light diagnosis,3,8
J812,Suspension noise diagnosis,3,8
J813,Suspension noise diagnosis,2,10
J814,Check engine light diagnosis,4,2
J815,Transmission inspection,4,6
J816,Brake pad replacement,2,9
J817,Oil change,4,5
J818,Brake pad replacement,2,9
J819,Coolant system service,2,3
J820,Tire replacement,1,10
J821,Brake inspection,3,5
J822,Engine diagnostic scan,3,9
J823,Spark plug replacement,3,5
J824,Brake pad replacement,2,5
J825,Tire replacement,3,2
J826,Spark plug replacement,4,2
J827,Tire replacement,3,8
J828,Tire pressure sensor reset,1,8
J829,Coolant system service,3,8
J830,Coolant system service,4,9
J831,Alternator inspection,3,2
J832,Oil change,2,5
J833,Coolant system service,2,6
J834,Oil change,3,8
J835,Brake pad replacement,3,5
J836,Coolant system service,4,7
J837,ABS warning light diagnosis,2,10
J838,Coolant system service,2,3
J839,ABS warning light diagnosis,2,4
J840,Brake inspection,3,7
J841,Check engine light diagnosis,2,9
J842,Transmission inspection,1,1
J843,Transmission inspection,2,3
J844,Brake inspection,4,4
J845,ABS warning light diagnosis,1,3
J846,ABS warning light diagnosis,2,7
J847,Wheel alignment,2,7
J848,Wheel alignment,2,10
J849,Battery replacement,1,5
J850,Check engine light diagnosis,3,9
J851,Spark plug replacement,1,9
J852,Suspension noise diagnosis,1,3
J853,Wheel alignment,1,8
J854,Transmission inspection,3,2
J855,Brake inspection,1,4
J856,Check engine light diagnosis,3,2
J857,Alternator inspection,3,7
J858,Tire pressure sensor reset,1,6
J859,Wheel alignment,3,2
J860,Tire pressure sensor reset,1,8
J861,Tire pressure sensor reset,3,7
J862,Spark plug replacement,4,7
J863,Tire pressure sensor reset,1,3
J864,Check engine light diagnosis,4,7
J865,Transmission inspection,3,6
J866,Brake inspection,2,3
J867,Tire replacement,4,4
J868,Alternator inspection,1,10
J869,Transmission inspection,3,3
J870,Brake inspection,2,3
J871,Spark plug replacement,4,3
J872,Coolant system service,1,6
J873,Brake inspection,4,1
J874,Oil change,2,9
